region,date,positive,total
Israel,2020-03-05,0.0,165.0
Israel,2020-03-06,0.0,272.0
Israel,2020-03-07,0.0,307.0
Israel,2020-03-08,0.0,416.0
Israel,2020-03-09,0.0,510.0
Israel,2020-03-10,0.0,488.0
Israel,2020-03-11,36.0,370.0
Israel,2020-03-12,30.0,586.0
Israel,2020-03-13,41.0,684.0
Israel,2020-03-14,33.0,605.0
Israel,2020-03-15,49.0,997.0
Israel,2020-03-16,77.0,1293.0
Israel,2020-03-17,98.0,1520.0
Israel,2020-03-18,118.0,1952.0
Israel,2020-03-19,143.0,1945.0
Israel,2020-03-20,169.0,2199.0
Israel,2020-03-21,209.0,2022.0
Israel,2020-03-22,248.0,3150.0
Israel,2020-03-23,349.0,3370.0
Israel,2020-03-24,414.0,4558.0
Israel,2020-03-25,425.0,5680.0
Israel,2020-03-26,513.0,6142.0
Israel,2020-03-27,424.0,5373.0
Israel,2020-03-28,467.0,5434.0
Israel,2020-03-29,527.0,7121.0
Israel,2020-03-30,540.0,6631.0
Israel,2020-03-31,708.0,7307.0
Israel,2020-04-01,680.0,8425.0
Israel,2020-04-02,686.0,9346.0
Israel,2020-04-03,574.0,9642.0
Israel,2020-04-04,421.0,5903.0
Israel,2020-04-05,583.0,8586.0
Israel,2020-04-06,418.0,6764.0
Israel,2020-04-07,343.0,6116.0
Israel,2020-04-08,312.0,4871.0
Israel,2020-04-09,326.0,4964.0
Israel,2020-04-10,308.0,6230.0
Israel,2020-04-11,309.0,5658.0
Israel,2020-04-12,488.0,8425.0
Israel,2020-04-13,365.0,8520.0
Israel,2020-04-14,364.0,10816.0
Israel,2020-04-15,273.0,7674.0
Israel,2020-04-16,249.0,11059.0
Israel,2020-04-17,264.0,9861.0
Israel,2020-04-18,239.0,8882.0
Israel,2020-04-19,252.0,9743.0
Israel,2020-04-20,271.0,12970.0
Israel,2020-04-21,238.0,11314.0
Israel,2020-04-22,190.0,11450.0
Israel,2020-04-23,220.0,11812.0
Israel,2020-04-24,210.0,10366.0
Israel,2020-04-25,135.0,7166.0
Israel,2020-04-26,73.0,7133.0
Israel,2020-04-27,98.0,8799.0
Israel,2020-04-28,131.0,8514.0
Israel,2020-04-29,68.0,7066.0
Israel,2020-04-30,144.0,8289.0
Israel,2020-05-01,95.0,9041.0
Israel,2020-05-02,46.0,4686.0
Israel,2020-05-03,22.0,7176.0
Israel,2020-05-04,47.0,7822.0
Israel,2020-05-05,24.0,7488.0
Israel,2020-05-06,58.0,8377.0
Israel,2020-05-07,38.0,8918.0
Israel,2020-05-08,26.0,7077.0
Israel,2020-05-09,16.0,3471.0
Israel,2020-05-10,13.0,4234.0
Israel,2020-05-11,30.0,7592.0
Israel,2020-05-12,15.0,6590.0
Israel,2020-05-13,34.0,7434.0
Israel,2020-05-14,18.0,7582.0
Israel,2020-05-15,9.0,4985.0
Israel,2020-05-16,4.0,1299.0
Israel,2020-05-17,13.0,4097.0
Israel,2020-05-18,22.0,6692.0
Israel,2020-05-19,22.0,6411.0
Israel,2020-05-20,15.0,5534.0
Israel,2020-05-21,17.0,5514.0
Israel,2020-05-22,21.0,4535.0
Israel,2020-05-23,5.0,607.0
Israel,2020-05-24,13.0,3335.0
Israel,2020-05-25,22.0,4768.0
Israel,2020-05-26,50.0,6408.0
Israel,2020-05-27,40.0,6315.0
Israel,2020-05-28,77.0,4928.0
Israel,2020-05-29,113.0,1690.0
Israel,2020-05-30,28.0,972.0
Israel,2020-05-31,88.0,5395.0
Israel,2020-06-01,100.0,7756.0
Israel,2020-06-02,122.0,11461.0
Israel,2020-06-03,96.0,12927.0
Israel,2020-06-04,141.0,14464.0
Israel,2020-06-05,124.0,16191.0
Israel,2020-06-06,78.0,11381.0
Israel,2020-06-07,140.0,14720.0
Israel,2020-06-08,179.0,14293.0
Israel,2020-06-09,173.0,14577.0
Israel,2020-06-10,238.0,18025.0
Israel,2020-06-11,191.0,15187.0
Israel,2020-06-12,183.0,12653.0
Israel,2020-06-13,149.0,6733.0
Israel,2020-06-14,136.0,8436.0
Israel,2020-06-15,199.0,13884.0
Israel,2020-06-16,296.0,15733.0
Israel,2020-06-17,269.0,15495.0
Israel,2020-06-18,304.0,16795.0
Israel,2020-06-19,306.0,12321.0
Israel,2020-06-20,158.0,5692.0
Israel,2020-06-21,171.0,8727.0
Israel,2020-06-22,342.0,13358.0
Israel,2020-06-23,447.0,19019.0
Israel,2020-06-24,485.0,16952.0
Israel,2020-06-25,512.0,16067.0
Israel,2020-06-26,462.0,15958.0
Israel,2020-06-27,399.0,9736.0
Israel,2020-06-28,380.0,9674.0
Israel,2020-06-29,752.0,19910.0
Israel,2020-06-30,781.0,19655.0
Israel,2020-07-01,967.0,20568.0
Israel,2020-07-02,1140.0,23852.0
Israel,2020-07-03,937.0,20130.0
Israel,2020-07-04,815.0,16347.0
Israel,2020-07-05,826.0,19799.0
Israel,2020-07-06,1132.0,24353.0
Israel,2020-07-07,1363.0,27071.0
Israel,2020-07-08,1321.0,28126.0
Israel,2020-07-09,1521.0,28438.0
Israel,2020-07-10,1406.0,24347.0
Israel,2020-07-11,1163.0,18896.0
Israel,2020-07-12,1238.0,19867.0
Israel,2020-07-13,1719.0,26880.0
Israel,2020-07-14,1599.0,29223.0
Israel,2020-07-15,1869.0,27380.0
Israel,2020-07-16,1920.0,27924.0
Israel,2020-07-17,1597.0,22560.0
Israel,2020-07-18,1414.0,17929.0
Israel,2020-07-19,948.0,17172.0
